Unnamed: 0,SearchTerm,BusinessName,UBINumber,BusinessId,Address,Status,address_match,ubi_match,id_match,isMatch
0,KAR STANDARD LLC,KAR STANDARD LLC,604 145 518,763141,"1 FEDERAL ST FL 17, BOSTON, MA, 02110-2003, UNITED STATES",Active,False,False,False,1.0
1,300 FIFTH AVENUE LLC,300 FIFTH AVENUE LLC,604 670 512,1399595,"1000 2ND AVE STE 1800, SEATTLE, WA, 98104-3619, UNITED STATES",Active,False,False,False,1.0
2,MSI - 1ST & KING LLC,MSI - 1ST & KING LLC,602 739 680,880019,"316 OCCIDENTAL AVE S, STE 300, SEATTLE, WA, 98104-4421, UNITED STATES",Active,False,False,False,1.0
3,BRICKMAN PACIFIC LLC,BRICKMAN PACIFIC LLC,603 445 367,74763,"C/O BRICKMAN, ONCE GREENWICH OFFICE PARK, BUILDING 1N, SUITE 175, GREENWICH, CT, 06831, UNITED STATES",Active,False,False,False,1.0
4,BPP 800 FIFTH PROPERTY OWNER LLC,BPP 800 FIFTH PROPERTY OWNER LLC,604 371 982,1248153,"233 S WACKER DR, SUITE 4700, CHICAGO, IL, 60606-6332, UNITED STATES",Active,False,False,False,1.0
5,SEATTLE DOWNTOWN HOTEL & RESIDENCES LLC,SEATTLE DOWNTOWN HOTEL & RESIDENCES LLC,603 340 323,1001050,"433 CALIFORNIA ST, STE 700, SAN FRANCISCO, CA, 94104-2011, UNITED STATES",Active,False,False,False,1.0
6,POLSON HOLDINGS LLC,POLSON HOLDINGS LLC,603 591 729,909243,"2101 FOURTH AVENUE, SUITE 310, SEATTLE, WA, 98121, UNITED STATES",Active,False,False,False,1.0
7,UNICO BOP COLMAN BUILDING LLC,UNICO BOP COLMAN BUILDING LLC,604 412 880,1268800,"1326 5TH AVE, SUITE 800, SEATTLE, WA, 98101-2627, UNITED STATES",Active,False,False,False,1.0
8,REEDO LP,REEDO LP,603 010 792,255022,"12886 INTERURBAN AVE S, SEATTLE, WA, 98168, UNITED STATES",Active,False,False,False,1.0
9,RFA MASIN BLOCK LLC,RFA MASIN BLOCK LLC,604 773 676,1472467,"55 2ND ST STE 1900, SAN FRANCISCO, CA, 94105-3497, UNITED STATES",Active,False,False,False,1.0
10,TATNUCK VENTURES LLC,TATNUCK VENTURES LLC,602 628 574,472081,"2360 CORPORATE CIR STE 330, LAS VEGAS, NV, 89074, UNITED STATES",Active,False,False,False,1.0
11,SREH 2014 LLC,SREH 2014 LLC,603 391 691,1017673,"1000 2ND AVE STE 1800, SEATTLE, WA, 98104-3619, UNITED STATES",Active,False,False,False,1.0
12,GO-BRICKMAN CENTRAL OWNER LLC,GO-BRICKMAN CENTRAL OWNER LLC,604 300 012,1211955,"C/O BRICKMAN, ONCE GREENWICH OFFICE PARK, BUILDING 1N, SUITE 175, GREENWICH, CT, 06831, UNITED STATES",Active,False,False,False,1.0
13,VBGO 901 FIFTH SEA LLC,VBGO 901 FIFTH SEA LLC,604 418 295,1290530,"277 E TOWN ST, COLUMBUS, OH, 43215-4627, UNITED STATES",Active,False,False,False,1.0
14,SAFECO PLAZA LLC,SAFECO PLAZA LLC,604 780 283,1476042,"800 BOYLSTON ST STE 1900, BOSTON, MA, 02199-8101, UNITED STATES",Active,True,False,False,1.0
15,BPP 999 THIRD AVENUE OWNER LLC,BPP 999 THIRD AVENUE OWNER LLC,604 467 183,1288971,"233 S WACKER DR STE 4700, CHICAGO, IL, 60606-6374, UNITED STATES",Active,False,False,False,1.0
16,HINES NORTON SEATTLE LLC,HINES NORTON SEATTLE LLC,604 816 375,1498693,"845 TEXAS AVENUE SUITE 3300, HOUSTON, TX, 77002, UNITED STATES",Active,False,False,False,1.0
17,PIONEER BUILDING LEVEL OFFICE LLC,PIONEER BUILDING LEVEL OFFICE LLC,603 532 620,890019,"600 1ST AVE, SEATTLE, WA, 98104-2216, UNITED STATES",Active,False,False,False,1.0
18,GO-BRICKMAN BRODERICK OWNER LLC,GO-BRICKMAN BRODERICK OWNER LLC,604 336 373,1232326,"C/O BRICKMAN, ONCE GREENWICH OFFICE PARK,, BUILDING 1N, SUITE 175, GREENWICH, CT, 06831, UNITED STATES",Active,False,False,False,1.0
19,UNICO BOP WASHINGTON PARK LLC,UNICO BOP WASHINGTON PARK LLC,604 431 986,1274714,"1215 4TH AVENUE, SUITE 600, SEATTLE, WA, 98161, UNITED STATES",Active,False,False,False,1.0
20,WLAM PROPERTY ASSOCIATION,WLAM PROPERTY ASSOCIATION,602 622 734,1053842,"719 S KING ST, SEATTLE, WA, 98104-3035, UNITED STATES",Active,True,False,False,1.0
21,UV 316 ALASKAN LLC,UV 316 ALASKAN LLC,604 006 184,1072571,"701 5TH AVE STE 6400, SEATTLE, WA, 98104-7100, UNITED STATES",Active,False,False,False,1.0
22,REDCO OCCIDENTAL 547 OWNER LLC,REDCO OCCIDENTAL 547 OWNER LLC,604 455 119,1282940,,,False,True,True,1.0
23,AMERICAN HOTEL BUILDING LLC,AMERICAN HOTEL BUILDING LLC,602 840 118,539763,"520 S KING ST, SEATTLE, WA, 98104-2834, UNITED STATES",Active,False,False,False,1.0
24,HPT IHG-2 PROPERTIES TRUST,HPT IHG-2 PROPERTIES TRUST,603 181 390,740606,"255 WASHINGTON ST, TWO NEWTON PLACE, SUITE 300, NEWTON, MA, 02458-1634, UNITED STATES",Active,False,False,False,1.0
25,ARCTIC CLUB HOTEL LLC,ARCTIC CLUB HOTEL LLC,602 440 867,554813,"108 N WASHINGTON ST STE 603, SPOKANE, WA, 99201-5001, UNITED STATES",Administratively Dissolved,False,False,False,1.0
